time,open,high,low,close,volume
2026-07-08T00:00:00+00:00,7462.59,7542.8,7462.59,7533.84,663652
2026-07-09T00:00:00+00:00,7533.84,7575.04,7504.65,7573.57,290124
2026-07-10T00:00:00+00:00,7573.57,7614.7699999999995,7544.379999999999,7613.299999999999,290124
2026-07-12T00:00:00+00:00,7573.57,7573.57,7496.49,7503.58,383185
2026-07-13T00:00:00+00:00,7503.58,7563.99,7481.99,7541.32,487578
2026-07-14T00:00:00+00:00,7541.32,7577.01,7522.74,7567.04,333579
2026-07-15T00:00:00+00:00,7567.04,7583.71,7500.24,7521.05,723734
2026-07-16T00:00:00+00:00,7521.05,7527.63,7425.91,7448.97,576863
2026-07-17T00:00:00+00:00,7448.97,7455.55,7353.83,7376.89,576863
2026-07-19T00:00:00+00:00,7448.97,7508.37,7433.31,7439.93,451292
2026-07-20T00:00:00+00:00,7439.93,7511.38,7430.56,7500.18,251881
2026-07-21T00:00:00+00:00,7500.18,7521.54,7462.49,7499.34,274794
2026-07-22T00:00:00+00:00,7499.34,7508.84,7371.12,7415.17,1052290
2026-07-23T00:00:00+00:00,7415.17,7456.23,7391.09,7404.01,575085
2026-07-24T00:00:00+00:00,7404.01,7445.07,7379.93,7392.85,575085
2026-07-26T00:00:00+00:00,7404.01,7486.12,7377.91,7414.97,580121
2026-07-27T00:00:00+00:00,7414.97,7448.22,7379.56,7430.25,654404
2026-07-28T00:00:00+00:00,7430.25,7464.05,7287.53,7298.77,1051096
2026-07-29T00:00:00+00:00,7298.77,7462.5,7295.49,7439.21,1443264
2026-07-30T00:00:00+00:00,7439.21,7505.83,7392.56,7483.37,662838
2026-07-31T00:00:00+00:00,7483.37,7520.04,7477.19,7514.79,83465
2026-08-02T00:00:00+00:00,7483.37,7604.13,7483.37,7597.68,288880
2026-08-03T00:00:00+00:00,7597.68,7753.33,7596.28,7741.75,301905
2026-08-04T00:00:00+00:00,7741.75,7788.55,7714.15,7727.08,421406
2026-08-05T00:00:00+00:00,7727.08,7739.99,7693.77,7700.82,384882
2026-08-06T00:00:00+00:00,7700.82,7756.67,7695.36,7734.4,313320
2026-08-09T00:00:00+00:00,7746.21,7768.27,7734.61,7748.34,188175
2026-08-10T00:00:00+00:00,7748.34,7767.89,7710.15,7725.37,175754
2026-08-11T00:00:00+00:00,7725.37,7767.68,7722.38,7740.39,183057
2026-08-12T00:00:00+00:00,7740.39,7814.05,7739.99,7800.99,292440
2026-08-13T00:00:00+00:00,7800.99,7808.29,7773.08,7779.28,135355
2026-08-16T00:00:00+00:00,7779.28,7803.35,7742.08,7744.2,128078
2026-08-17T00:00:00+00:00,7744.2,7750.18,7689.73,7693.05,226942
2026-08-18T00:00:00+00:00,7693.05,7745.99,7679.19,7711.79,276869
2026-08-19T00:00:00+00:00,7711.79,7728.28,7639.78,7650.14,336931
2026-08-20T00:00:00+00:00,7650.14,7697.69,7645.12,7673.37,209786
2026-08-23T00:00:00+00:00,7673.37,7689,7640.78,7659.85,298819
2026-08-24T00:00:00+00:00,7659.85,7701.49,7648.24,7689.51,92594
2026-08-25T00:00:00+00:00,7689.51,7701.18,7670.12,7683.17,154367
2026-08-26T00:00:00+00:00,7683.17,7714.900000000001,7683.17,7691.650000000001,21079
2026-08-27T00:00:00+00:00,7691.650000000001,7741.410000000001,7670.89,7682.6,331395
2026-08-30T00:00:00+00:00,7713.36,7715.62,7666.65,7693.1,245908
2026-08-31T00:00:00+00:00,7693.1,7700.02,7613.3,7639.26,256088
2026-09-01T00:00:00+00:00,7639.26,7643.84,7625.34,7629.83,19977
